county_name,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19
Bayfield,,,,,,,,,,,1
Brown,,,,,,,,,,1,2
Calumet,,,,,,,,,,,1
Columbia,,,,,,,,,,,4
Dane,,,,2,6,6,6,10,19,23,27
Eau Claire,,,,,,,,,,,1
Fond du Lac,,1,3,3,6,6,11,11,11,12,14
Kenosha,,,,,,,,,4,4,4
La Crosse,,,,,,,,,,1,2
Milwaukee,,,,,2,6,7,13,24,47,62
Outagamie,,,,,,,,1,1,1,1
Ozaukee,,,,,,,,,,,3
Pierce,1,1,1,1,1,1,1,1,1,1,1
Racine,,,,,1,1,1,1,1,1,3
Sauk,,,,,,,,,,,1
Sheboygan,,,,,3,3,3,3,3,4,6
Walworth,,,,,,,,,,,2
Washington,,,,,,,,,,2,2
Waukesha,,,,,1,3,3,3,4,5,12
Winnebago,,,,,0,1,1,3,3,3,5
Wood,,,,,,,,1,1,1,1
Total,1,2,4,7,19,27,33,47,72,106,155
